,district,size,level,max_levels,price
5903,Чиланзарский,50.0,2,4,69000.0
5904,Чиланзарский,60.0,3,5,76000.0
5905,Чиланзарский,36.0,2,4,55000.0
5906,Чиланзарский,45.0,2,5,59000.0
5907,Чиланзарский,36.0,4,4,51000.0
5908,Чиланзарский,36.0,4,4,51000.0
5909,Чиланзарский,30.0,2,4,47000.0
5910,Мирабадский,62.0,3,9,106000.0
5911,Сергелийский,74.0,2,9,68000.0
5912,Мирабадский,65.0,9,9,97000.0
5913,Мирабадский,65.0,9,9,94000.0
5914,Яшнободский,50.0,3,4,77400.0
5915,Яккасарайский,44.0,2,9,54000.0
5916,Яшнободский,41.0,1,9,46000.0
5917,Яккасарайский,116.0,3,9,176000.0
5918,Мирзо-Улугбекский,41.0,3,5,73000.0
5919,Мирзо-Улугбекский,43.0,4,4,124000.0
5920,Чиланзарский,47.0,4,4,52000.0
5921,Мирабадский,80.0,9,9,133000.0
5922,Олмазорский,57.0,5,5,70000.0
5923,Чиланзарский,50.0,1,4,69000.0
5924,Яшнободский,89.8,1,8,63000.0
5925,Яшнободский,58.6,4,8,41000.0
5926,Учтепинский,65.0,7,9,73000.0
5927,Юнусабадский,70.0,4,9,120000.0
5928,Чиланзарский,33.0,4,4,50000.0
5929,Мирзо-Улугбекский,92.0,3,5,122000.0
5930,Мирзо-Улугбекский,95.0,3,5,122000.0
5931,Шайхантахурский,65.0,3,4,113000.0
5932,Сергелийский,54.0,9,10,56846.0
5933,Мирзо-Улугбекский,53.0,4,4,74000.0
5934,Яккасарайский,112.0,8,9,120000.0
5935,Чиланзарский,57.0,2,4,92000.0
5936,Мирабадский,103.0,6,9,140000.0
5937,Юнусабадский,80.0,1,4,200000.0
5938,Яккасарайский,84.0,5,12,140000.0
5939,Яшнободский,100.0,3,9,120000.0
5941,Мирабадский,55.0,9,9,114000.0
5942,Мирабадский,55.0,9,9,130000.0
5943,Мирзо-Улугбекский,74.0,7,9,122000.0
5944,Мирзо-Улугбекский,78.0,3,4,144000.0
5945,Яккасарайский,43.0,5,16,73000.0
5946,Яккасарайский,28.0,4,4,58000.0
5947,Мирзо-Улугбекский,70.0,4,5,92000.0
5948,Учтепинский,37.0,2,4,49000.0
5949,Учтепинский,42.0,1,5,53000.0
5950,Шайхантахурский,84.0,2,4,190000.0
5951,Учтепинский,37.0,2,4,56000.0
5952,Юнусабадский,72.0,7,9,92000.0
5953,Мирзо-Улугбекский,33.0,4,4,38000.0
5954,Мирзо-Улугбекский,42.0,2,5,67000.0
5955,Мирзо-Улугбекский,100.0,4,4,96000.0
5956,Мирзо-Улугбекский,35.0,1,4,49000.0
5957,Мирзо-Улугбекский,46.0,4,4,56000.0
5958,Мирзо-Улугбекский,60.0,3,5,61000.0
5959,Мирзо-Улугбекский,62.0,5,5,70000.0
5960,Юнусабадский,60.0,2,9,90000.0
5961,Янгихаётский,52.0,3,7,82000.0
5962,Мирабадский,70.0,2,4,150000.0
5963,Мирабадский,60.0,4,4,120000.0
5964,Яккасарайский,52.0,3,5,130000.0
5965,Олмазорский,42.0,5,5,53000.0
5966,Яккасарайский,42.0,3,5,104000.0
5967,Чиланзарский,15.0,3,4,24000.0
5968,Юнусабадский,103.0,3,6,180000.0
5969,Чиланзарский,42.0,3,5,63000.0
5970,Учтепинский,58.0,2,4,64000.0
5971,Мирзо-Улугбекский,55.0,1,4,72000.0
5972,Мирабадский,107.0,8,9,210000.0
5973,Юнусабадский,95.0,4,4,119800.0
5974,Чиланзарский,35.0,3,4,54000.0
5975,Чиланзарский,28.0,2,4,48000.0
5976,Мирзо-Улугбекский,55.0,4,5,69000.0
5977,Мирзо-Улугбекский,18.0,6,9,21000.0
5978,Мирзо-Улугбекский,55.0,2,5,65000.0
5979,Мирзо-Улугбекский,55.0,1,5,72000.0
5980,Юнусабадский,75.0,4,9,154000.0
5981,Учтепинский,41.0,3,5,52000.0
5982,Учтепинский,72.0,3,9,91000.0
5983,Мирзо-Улугбекский,110.0,1,4,220000.0
5984,Мирабадский,115.0,5,9,166000.0
5985,Мирабадский,110.0,5,9,170000.0
5986,Мирзо-Улугбекский,86.0,2,5,160000.0
5987,Сергелийский,44.0,1,7,68000.0
5988,Мирабадский,40.0,1,1,52000.0
5989,Яшнободский,94.0,4,4,74000.0
5990,Мирабадский,40.0,1,1,52000.0
5991,Яшнободский,94.0,4,4,74000.0
5992,Мирабадский,40.0,1,4,45000.0
5993,Сергелийский,82.0,7,10,86320.0
5994,Яшнободский,50.0,4,4,48000.0
5995,Сергелийский,56.0,1,7,76000.0
5996,Олмазорский,80.0,6,7,116000.0
5997,Чиланзарский,58.0,4,9,63000.0
5998,Юнусабадский,82.0,1,4,170000.0
