,district,size,level,max_levels,price
0,Юнусабадский,57.0,4,4,104000.0
1,Яккасарайский,52.0,4,5,112000.0
2,Чиланзарский,42.0,4,4,74000.0
3,Чиланзарский,65.0,1,4,99000.0
4,Чиланзарский,70.0,3,5,110000.0
5,Чиланзарский,28.0,1,4,51000.0
6,Чиланзарский,30.0,2,4,42400.0
7,Яккасарайский,32.0,5,5,40000.0
8,Учтепинский,51.0,3,4,52400.0
9,Чиланзарский,30.0,1,4,44400.0
10,Учтепинский,30.0,2,5,48400.0
11,Чиланзарский,67.0,2,5,60400.0
12,Чиланзарский,30.0,2,4,42400.0
13,Чиланзарский,30.0,2,4,42400.0
14,Чиланзарский,30.0,2,4,42400.0
15,Чиланзарский,35.0,1,5,45000.0
16,Чиланзарский,43.0,4,4,45000.0
17,Чиланзарский,51.0,2,4,42400.0
18,Мирзо-Улугбекский,65.0,1,4,65000.0
19,Чиланзарский,51.0,2,4,44400.0
20,Чиланзарский,51.0,2,4,48400.0
21,Яккасарайский,90.0,5,5,90000.0
22,Чиланзарский,80.0,3,4,112000.0
23,Яшнободский,70.0,5,5,94000.0
24,Мирзо-Улугбекский,69.0,1,4,99800.0
25,Мирабадский,80.0,2,4,152000.0
26,Учтепинский,96.0,3,4,130000.0
27,Учтепинский,76.0,4,4,95000.0
28,Учтепинский,45.0,4,5,60000.0
29,Чиланзарский,27.0,3,4,64000.0
30,Учтепинский,65.0,3,9,88000.0
31,Чиланзарский,64.0,3,4,113000.0
32,Чиланзарский,42.0,5,9,70000.0
33,Чиланзарский,26.0,2,4,47000.0
34,Учтепинский,76.0,5,5,121000.0
35,Чиланзарский,80.0,2,4,136000.0
36,Чиланзарский,72.0,5,5,83000.0
37,Учтепинский,100.0,3,12,110000.0
38,Учтепинский,65.0,4,4,88000.0
39,Учтепинский,80.0,3,4,105000.0
40,Учтепинский,72.0,6,9,86000.0
41,Мирабадский,65.0,1,4,160000.0
42,Яккасарайский,63.0,1,5,84000.0
43,Яккасарайский,48.0,5,9,46000.0
44,Юнусабадский,70.0,3,4,94000.0
45,Яккасарайский,102.0,7,12,177568.0
46,Учтепинский,78.0,2,4,130000.0
47,Чиланзарский,100.0,1,4,194000.0
48,Чиланзарский,34.0,1,4,57000.0
49,Чиланзарский,42.0,2,4,69000.0
50,Учтепинский,80.0,4,5,102000.0
51,Учтепинский,90.0,1,12,102000.0
52,Чиланзарский,45.0,2,4,96000.0
53,Чиланзарский,70.0,5,5,80000.0
54,Чиланзарский,96.0,7,9,134000.0
55,Учтепинский,80.0,4,5,136000.0
56,Учтепинский,63.0,1,4,81000.0
57,Учтепинский,56.0,4,5,108000.0
58,Учтепинский,52.0,1,4,72000.0
59,Учтепинский,98.0,2,4,136000.0
60,Чиланзарский,96.0,9,9,126000.0
61,Шайхантахурский,93.0,4,4,127000.0
62,Шайхантахурский,60.0,9,9,99000.0
63,Чиланзарский,82.0,4,4,140000.0
64,Учтепинский,120.0,9,9,104000.0
65,Учтепинский,110.0,3,3,182000.0
66,Чиланзарский,95.0,2,4,166000.0
67,Учтепинский,56.0,1,4,81000.0
68,Чиланзарский,68.0,3,4,96000.0
69,Олмазорский,57.0,3,4,84000.0
70,Яшнободский,46.0,11,11,39530.0
71,Чиланзарский,45.0,4,4,69000.0
72,Юнусабадский,40.0,1,9,80000.0
73,Мирзо-Улугбекский,95.0,5,5,100000.0
74,Юнусабадский,53.0,1,9,136000.0
75,Олмазорский,72.0,4,9,83000.0
76,Мирзо-Улугбекский,65.0,4,5,83000.0
77,Юнусабадский,82.0,1,4,172000.0
78,Чиланзарский,42.0,3,9,51000.0
79,Чиланзарский,54.0,4,4,63000.0
80,Чиланзарский,42.0,1,4,53000.0
81,Учтепинский,20.0,3,9,29000.0
82,Чиланзарский,45.0,4,4,90000.0
83,Чиланзарский,46.0,2,5,60000.0
84,Чиланзарский,50.0,2,4,69000.0
85,Чиланзарский,36.0,2,4,54000.0
86,Учтепинский,80.0,6,9,119000.0
87,Учтепинский,72.0,3,9,96000.0
88,Учтепинский,78.0,5,5,94598.0
89,Чиланзарский,46.0,4,5,74000.0
90,Чиланзарский,60.0,2,4,76000.0
91,Олмазорский,58.0,5,9,59000.0
92,Чиланзарский,70.0,2,7,112000.0
93,Яккасарайский,68.0,6,9,90000.0
94,Учтепинский,100.0,3,5,123000.0
95,Чиланзарский,68.0,5,5,93000.0
96,Учтепинский,70.0,4,12,102000.0
97,Чиланзарский,90.0,5,9,116800.0
98,Чиланзарский,60.0,5,5,94000.0
99,Учтепинский,80.0,5,5,105000.0
100,Учтепинский,74.0,3,5,100000.0
101,Чиланзарский,48.0,2,5,83000.0
102,Чиланзарский,94.0,9,9,90000.0
103,Учтепинский,65.0,4,9,95000.0
104,Чиланзарский,85.0,3,4,105000.0
105,Учтепинский,42.0,5,5,52000.0
106,Чиланзарский,110.0,3,4,210000.0
107,Учтепинский,70.0,4,4,84000.0
108,Чиланзарский,68.0,2,5,107000.0
109,Яккасарайский,48.0,5,9,46000.0
110,Яшнободский,20.0,3,3,25000.0
111,Мирабадский,110.0,4,7,214000.0
112,Чиланзарский,46.0,3,4,70000.0
113,Чиланзарский,125.0,5,5,140000.0
114,Мирзо-Улугбекский,72.0,18,19,110000.0
115,Мирзо-Улугбекский,64.67,7,9,78828.0
116,Юнусабадский,70.0,4,9,120000.0
117,Юнусабадский,50.0,7,9,74000.0
118,Мирзо-Улугбекский,51.0,2,4,98000.0
119,Мирзо-Улугбекский,22.0,1,2,36000.0
120,Чиланзарский,54.0,1,4,85000.0
121,Чиланзарский,30.0,3,5,69000.0
122,Чиланзарский,42.0,5,9,74000.0
123,Яккасарайский,70.0,2,4,140000.0
124,Шайхантахурский,68.0,2,4,91600.0
125,Чиланзарский,30.0,4,4,48000.0
126,Учтепинский,52.0,1,4,116000.0
127,Чиланзарский,72.0,4,4,111000.0
128,Чиланзарский,76.0,2,4,136000.0
129,Учтепинский,48.0,4,4,62000.0
130,Чиланзарский,66.0,3,9,94000.0
131,Чиланзарский,60.0,3,5,94000.0
132,Чиланзарский,37.0,1,4,82000.0
133,Мирзо-Улугбекский,40.0,3,4,48000.0
134,Юнусабадский,61.0,1,4,110000.0
135,Чиланзарский,32.0,2,4,57000.0
136,Чиланзарский,65.0,4,4,84000.0
137,Учтепинский,66.0,2,5,134000.0
138,Чиланзарский,70.0,4,4,93000.0
139,Чиланзарский,66.0,4,4,101000.0
140,Учтепинский,65.0,1,4,80000.0
141,Яшнободский,37.0,5,8,26142.0
142,Мирзо-Улугбекский,69.65,4,9,90376.0
143,Учтепинский,88.0,4,5,106000.0
144,Яккасарайский,38.0,2,5,51200.0
145,Мирабадский,61.0,6,9,104000.0
146,Мирзо-Улугбекский,45.0,3,7,88000.0
147,Сергелийский,69.0,2,9,80000.0
148,Мирзо-Улугбекский,55.13,5,9,70452.0
149,Чиланзарский,67.0,4,4,108000.0
150,Шайхантахурский,38.0,5,5,45000.0
151,Мирзо-Улугбекский,67.0,2,4,73000.0
152,Яккасарайский,54.0,4,9,80000.0
153,Чиланзарский,58.0,1,9,70000.0
154,Мирабадский,100.0,5,8,284000.0
155,Чиланзарский,90.0,4,5,104000.0
156,Олмазорский,91.0,3,3,170000.0
157,Шайхантахурский,111.0,7,8,220000.0
158,Сергелийский,54.0,6,7,72000.0
159,Яшнободский,69.0,5,5,104000.0
160,Юнусабадский,107.0,5,5,100000.0
161,Мирзо-Улугбекский,80.0,2,5,110000.0
162,Юнусабадский,63.0,5,9,84000.0
163,Мирабадский,74.0,5,16,138000.0
164,Яшнободский,58.0,5,5,57800.0
165,Мирзо-Улугбекский,62.0,9,9,68000.0
166,Мирзо-Улугбекский,107.0,2,8,170000.0
167,Олмазорский,40.41,2,4,50000.0
168,Чиланзарский,54.0,2,4,78000.0
169,Мирзо-Улугбекский,40.0,1,4,120000.0
170,Мирзо-Улугбекский,50.0,1,5,73000.0
171,Яшнободский,75.0,5,9,84000.0
172,Мирзо-Улугбекский,84.0,7,8,170000.0
173,Мирзо-Улугбекский,117.0,2,5,250000.0
174,Мирзо-Улугбекский,70.0,5,5,74000.0
175,Мирзо-Улугбекский,47.0,2,9,84000.0
176,Чиланзарский,56.0,2,5,72000.0
177,Чиланзарский,42.0,3,9,56000.0
178,Чиланзарский,60.0,5,9,68000.0
179,Чиланзарский,32.0,2,5,57000.0
180,Чиланзарский,42.0,2,5,57000.0
181,Чиланзарский,60.0,2,9,69000.0
182,Чиланзарский,54.0,1,4,69000.0
183,Чиланзарский,42.0,1,5,51000.0
184,Чиланзарский,60.0,2,9,87000.0
185,Мирабадский,72.0,7,9,126000.0
186,Яшнободский,80.0,1,4,79998.0
187,Чиланзарский,33.0,2,4,49000.0
188,Юнусабадский,61.0,3,5,82000.0
189,Мирзо-Улугбекский,187.0,2,5,420000.0
190,Мирзо-Улугбекский,63.0,5,5,72000.0
191,Олмазорский,60.0,5,5,68000.0
192,Чиланзарский,29.0,2,4,46000.0
193,Мирзо-Улугбекский,63.0,5,5,72000.0
194,Учтепинский,48.0,4,5,57000.0
195,Мирзо-Улугбекский,11.0,3,9,15000.0
196,Чиланзарский,45.0,4,4,94000.0
197,Олмазорский,122.0,5,5,190000.0
198,Юнусабадский,42.0,2,4,88000.0
199,Мирзо-Улугбекский,50.0,1,4,90000.0
200,Мирзо-Улугбекский,100.0,4,4,96000.0
201,Мирзо-Улугбекский,60.0,4,4,64000.0
202,Яккасарайский,50.0,2,4,94000.0
203,Мирзо-Улугбекский,78.0,5,9,141000.0
204,Яккасарайский,164.0,5,6,340000.0
205,Мирзо-Улугбекский,60.0,3,5,61000.0
206,Чиланзарский,42.0,2,4,52000.0
207,Чиланзарский,70.0,4,4,75000.0
208,Чиланзарский,35.0,1,5,53000.0
209,Чиланзарский,47.0,2,4,64000.0
210,Чиланзарский,36.0,2,5,53000.0
211,Чиланзарский,50.0,2,5,69000.0
212,Чиланзарский,52.0,2,4,73000.0
213,Яшнободский,46.0,2,4,49000.0
214,Чиланзарский,92.0,3,9,85000.0
215,Чиланзарский,70.0,1,4,92000.0
216,Юнусабадский,70.0,2,4,77000.0
217,Мирзо-Улугбекский,60.0,7,8,72000.0
218,Мирзо-Улугбекский,55.0,3,5,70000.0
219,Мирзо-Улугбекский,63.0,4,9,111000.0
220,Яккасарайский,89.0,4,12,163544.0
221,Яккасарайский,55.0,1,12,101066.0
222,Мирзо-Улугбекский,100.0,2,6,238000.0
223,Мирзо-Улугбекский,208.0,2,3,186000.0
224,Чиланзарский,35.0,1,4,47600.0
225,Чиланзарский,44.0,3,4,65800.0
226,Янгихаётский,61.0,3,7,72000.0
227,Яшнободский,100.0,2,9,130000.0
228,Чиланзарский,35.0,1,4,59600.0
229,Мирзо-Улугбекский,86.0,3,5,126000.0
230,Мирзо-Улугбекский,100.0,1,5,160000.0
231,Олмазорский,110.0,5,5,127000.0
232,Мирабадский,75.0,6,9,220000.0
233,Олмазорский,70.0,1,5,124000.0
234,Шайхантахурский,70.0,4,5,73998.0
235,Яккасарайский,150.0,3,6,340000.0
236,Сергелийский,56.1,7,7,74000.0
237,Юнусабадский,83.0,3,5,108000.0
238,Учтепинский,49.0,4,4,46000.0
239,Чиланзарский,46.0,2,4,77000.0
240,Чиланзарский,46.0,4,4,72400.0
241,Чиланзарский,68.0,4,4,90000.0
242,Чиланзарский,65.0,1,5,90000.0
243,Чиланзарский,76.0,4,4,86000.0
244,Чиланзарский,42.0,2,5,52000.0
245,Чиланзарский,55.0,1,4,134000.0
246,Чиланзарский,76.0,5,5,91000.0
247,Чиланзарский,49.0,2,6,94000.0
248,Чиланзарский,80.0,2,4,140000.0
249,Чиланзарский,142.0,5,5,240000.0
250,Чиланзарский,60.0,3,4,88000.0
251,Мирзо-Улугбекский,72.0,4,5,94000.0
252,Мирабадский,115.0,6,9,168000.0
253,Яшнободский,100.0,2,3,154000.0
254,Мирзо-Улугбекский,63.0,5,5,70000.0
255,Мирзо-Улугбекский,66.0,3,5,112000.0
256,Мирзо-Улугбекский,70.0,5,5,93000.0
257,Мирзо-Улугбекский,62.0,5,5,70000.0
258,Чиланзарский,50.0,1,4,68000.0
259,Юнусабадский,78.0,4,4,112000.0
260,Мирабадский,62.0,2,9,126000.0
262,Яшнободский,63.0,4,4,80000.0
263,Мирзо-Улугбекский,91.0,1,5,150000.0
264,Шайхантахурский,81.0,6,9,109800.0
265,Мирзо-Улугбекский,86.0,3,4,84000.0
266,Мирзо-Улугбекский,54.0,3,5,109000.0
267,Мирабадский,90.0,3,5,210000.0
268,Мирзо-Улугбекский,40.0,2,5,74000.0
269,Юнусабадский,45.0,5,5,48000.0
270,Олмазорский,89.55,7,9,80000.0
271,Мирзо-Улугбекский,92.0,3,5,134000.0
272,Яккасарайский,100.0,3,4,2000.0
273,Мирзо-Улугбекский,95.0,1,4,154000.0
274,Мирзо-Улугбекский,102.0,4,9,130000.0
275,Олмазорский,65.0,5,9,62600.0
276,Мирзо-Улугбекский,62.0,5,5,67000.0
277,Олмазорский,56.0,3,5,77000.0
278,Мирзо-Улугбекский,59.0,2,8,83000.0
279,Чиланзарский,96.0,6,9,129000.0
280,Яшнободский,37.0,4,8,26150.0
281,Яккасарайский,70.0,8,9,96000.0
282,Мирабадский,78.0,4,8,154000.0
283,Яккасарайский,145.0,7,8,230000.0
284,Мирзо-Улугбекский,100.0,2,5,256000.0
285,Яшнободский,54.0,4,4,66000.0
286,Мирабадский,70.0,2,4,132000.0
287,Яккасарайский,116.0,3,5,160000.0
288,Чиланзарский,72.0,8,9,75400.0
289,Шайхантахурский,70.0,6,7,120000.0
290,Мирзо-Улугбекский,60.0,9,9,57000.0
291,Чиланзарский,52.0,4,5,76000.0
292,Яккасарайский,95.0,7,8,130000.0
293,Чиланзарский,44.0,1,4,76000.0
294,Чиланзарский,42.0,3,4,73000.0
295,Чиланзарский,43.0,2,4,73000.0
296,Чиланзарский,77.0,5,5,190000.0
297,Чиланзарский,24.0,3,4,40000.0
298,Чиланзарский,30.0,1,4,52000.0
299,Чиланзарский,41.0,1,4,72000.0
300,Юнусабадский,46.0,2,4,72000.0
301,Чиланзарский,42.0,2,4,73000.0
302,Юнусабадский,51.0,3,4,90000.0
303,Учтепинский,62.0,5,5,67000.0
304,Яшнободский,50.0,5,12,50000.0
305,Юнусабадский,107.0,6,9,151000.0
308,Олмазорский,38.0,6,9,55000.0
310,Яккасарайский,110.0,7,9,150000.0
311,Олмазорский,55.62,5,9,62000.0
312,Сергелийский,66.0,8,9,63014.0
313,Яккасарайский,53.0,3,5,108000.0
314,Олмазорский,119.0,2,5,220000.0
315,Мирзо-Улугбекский,56.0,1,4,70000.0
316,Мирзо-Улугбекский,68.0,4,4,48000.0
317,Мирабадский,125.0,7,12,259998.0
318,Яккасарайский,140.0,8,10,210000.0
319,Яккасарайский,141.0,7,7,190000.0
320,Учтепинский,74.0,4,4,95000.0
321,Мирзо-Улугбекский,63.0,5,5,69994.0
322,Учтепинский,41.0,4,4,64000.0
323,Мирабадский,52.0,3,5,74000.0
324,Чиланзарский,68.0,3,4,78000.0
325,Мирабадский,110.0,1,4,127000.0
326,Мирзо-Улугбекский,60.0,6,9,71000.0
327,Чиланзарский,54.0,9,9,70000.0
328,Мирзо-Улугбекский,60.0,5,5,70000.0
330,Чиланзарский,46.0,3,4,75000.0
331,Чиланзарский,94.0,4,5,146000.0
332,Чиланзарский,58.0,1,9,80000.0
333,Мирзо-Улугбекский,92.0,3,5,124000.0
334,Чиланзарский,70.0,3,4,110000.0
335,Чиланзарский,42.0,4,4,74800.0
336,Чиланзарский,42.0,4,4,71600.0
337,Чиланзарский,75.0,4,12,120000.0
338,Юнусабадский,72.0,1,9,200000.0
339,Учтепинский,85.0,7,9,105000.0
340,Юнусабадский,65.0,5,9,88000.0
341,Чиланзарский,65.0,9,9,113200.0
342,Чиланзарский,46.0,3,4,84000.0
343,Мирзо-Улугбекский,60.94,9,9,73084.0
346,Яшнободский,59.0,4,4,53000.0
347,Мирзо-Улугбекский,66.82,5,7,130000.0
348,Чиланзарский,98.0,5,9,140000.0
349,Мирзо-Улугбекский,48.0,1,4,68998.0
350,Учтепинский,92.0,8,9,92000.0
351,Мирабадский,128.0,1,7,174000.0
352,Мирабадский,56.0,2,5,75000.0
353,Яшнободский,45.0,1,5,73000.0
354,Чиланзарский,70.0,2,4,96000.0
355,Учтепинский,56.0,2,5,75000.0
356,Мирзо-Улугбекский,95.0,1,5,156000.0
357,Мирабадский,100.0,8,9,300000.0
358,Мирзо-Улугбекский,97.0,5,5,160000.0
359,Мирзо-Улугбекский,130.0,4,9,197000.0
360,Юнусабадский,67.0,4,4,84000.0
361,Мирзо-Улугбекский,95.0,5,5,100000.0
362,Юнусабадский,62.0,4,9,110000.0
363,Яккасарайский,75.0,10,16,140000.0
364,Яккасарайский,70.0,6,6,163998.0
365,Яшнободский,59.0,2,7,45068.0
366,Юнусабадский,55.0,1,9,86000.0
367,Юнусабадский,59.0,5,5,74000.0
368,Чиланзарский,44.0,4,4,59000.0
369,Шайхантахурский,30.0,3,3,77000.0
370,Яккасарайский,56.0,2,5,76000.0
371,Учтепинский,60.0,4,4,80000.0
372,Мирабадский,70.0,3,4,166000.0
373,Мирзо-Улугбекский,64.0,4,5,69000.0
374,Чиланзарский,100.0,1,12,114000.0
375,Чиланзарский,68.0,2,4,100000.0
376,Юнусабадский,115.0,3,9,128000.0
377,Мирзо-Улугбекский,60.0,4,4,68000.0
378,Мирзо-Улугбекский,100.0,4,4,96000.0
379,Мирзо-Улугбекский,50.0,2,4,65000.0
380,Мирабадский,105.0,7,9,250000.0
381,Мирзо-Улугбекский,70.0,4,7,174000.0
382,Мирзо-Улугбекский,137.0,3,7,210000.0
383,Яшнободский,36.0,4,9,52000.0
384,Яккасарайский,52.0,1,3,110000.0
385,Янгихаётский,47.14,4,4,56000.0
386,Чиланзарский,65.0,1,5,90000.0
387,Мирзо-Улугбекский,130.0,6,9,230000.0
388,Мирзо-Улугбекский,110.0,4,6,250000.0
389,Яккасарайский,61.0,2,9,106000.0
390,Мирабадский,40.0,1,1,47000.0
391,Яккасарайский,75.0,7,9,124000.0
392,Чиланзарский,54.0,4,4,75000.0
393,Юнусабадский,64.0,3,4,109924.0
394,Чиланзарский,30.0,3,4,62000.0
395,Чиланзарский,68.0,4,4,93000.0
396,Юнусабадский,50.0,1,4,76000.0
397,Мирабадский,44.0,6,9,120000.0
398,Мирзо-Улугбекский,35.0,2,2,41200.0
399,Яккасарайский,70.0,4,5,137000.0
400,Мирзо-Улугбекский,46.0,1,5,66000.0
401,Мирзо-Улугбекский,71.0,4,4,80400.0
402,Чиланзарский,50.0,5,5,43000.0
403,Яккасарайский,43.0,6,16,68000.0
404,Юнусабадский,60.0,9,9,64000.0
405,Юнусабадский,60.0,1,4,63998.0
406,Юнусабадский,57.0,4,4,64000.0
407,Юнусабадский,75.0,4,9,160000.0
408,Юнусабадский,62.0,4,4,66000.0
409,Яккасарайский,43.0,6,16,68000.0
410,Чиланзарский,48.0,1,4,68000.0
411,Юнусабадский,70.0,1,9,136000.0
412,Юнусабадский,54.0,2,4,66000.0
413,Юнусабадский,50.0,4,4,67000.0
414,Юнусабадский,50.0,2,4,67000.0
415,Чиланзарский,60.0,2,9,72000.0
416,Чиланзарский,60.0,1,9,83000.0
417,Чиланзарский,68.0,1,4,82000.0
418,Чиланзарский,50.0,1,5,69000.0
419,Чиланзарский,50.0,4,4,65000.0
420,Чиланзарский,60.0,4,5,76000.0
421,Юнусабадский,122.0,8,9,268000.0
422,Яккасарайский,88.0,5,5,91000.0
423,Яккасарайский,118.0,8,12,205422.0
424,Юнусабадский,55.0,1,3,85000.0
425,Юнусабадский,60.0,4,4,68000.0
426,Яккасарайский,47.0,4,4,95000.0
427,Юнусабадский,78.0,1,9,68000.0
428,Яккасарайский,62.0,8,9,84000.0
429,Юнусабадский,50.0,4,4,68000.0
430,Юнусабадский,60.0,4,4,68000.0
431,Юнусабадский,60.0,3,4,69000.0
432,Юнусабадский,78.0,1,9,67996.0
433,Юнусабадский,50.0,4,4,68000.0
434,Юнусабадский,60.0,4,4,68000.0
435,Яшнободский,75.0,5,9,129400.0
436,Юнусабадский,82.0,1,4,171000.0
437,Чиланзарский,36.0,1,5,51000.0
438,Чиланзарский,36.0,2,5,57000.0
439,Чиланзарский,42.0,4,4,56000.0
440,Чиланзарский,46.0,2,5,63000.0
441,Чиланзарский,50.0,1,5,72000.0
442,Яккасарайский,75.0,5,9,110000.0
443,Чиланзарский,75.0,9,9,120000.0
444,Юнусабадский,64.0,5,9,74000.0
445,Яккасарайский,60.0,4,9,94000.0
446,Юнусабадский,90.0,4,4,106000.0
447,Мирзо-Улугбекский,86.0,3,5,100000.0
448,Мирзо-Улугбекский,72.0,1,4,92000.0
449,Учтепинский,105.0,7,9,170000.0
450,Яккасарайский,34.0,2,4,58000.0
451,Мирзо-Улугбекский,28.0,1,4,43000.0
452,Чиланзарский,47.0,4,4,71000.0
453,Чиланзарский,42.0,1,4,79200.0
454,Чиланзарский,110.0,2,8,320000.0
455,Мирабадский,40.0,2,9,84000.0
456,Чиланзарский,50.0,4,4,81000.0
457,Чиланзарский,29.0,4,4,49000.0
458,Чиланзарский,42.0,4,4,68000.0
459,Чиланзарский,42.0,3,4,73998.0
460,Чиланзарский,65.0,4,5,60000.0
461,Юнусабадский,65.0,3,5,90000.0
462,Чиланзарский,45.0,3,5,52000.0
463,Мирзо-Улугбекский,90.0,3,4,266000.0
464,Мирзо-Улугбекский,86.0,4,5,120000.0
465,Мирзо-Улугбекский,40.0,4,4,68000.0
466,Чиланзарский,35.0,2,4,40000.0
467,Олмазорский,100.0,1,4,142000.0
468,Яккасарайский,78.0,4,8,200000.0
469,Яккасарайский,20.0,2,4,29000.0
470,Олмазорский,40.0,3,4,55000.0
471,Шайхантахурский,75.0,2,4,110000.0
472,Мирабадский,90.0,7,9,184000.0
473,Мирзо-Улугбекский,137.0,2,6,250000.0
474,Мирабадский,152.0,4,9,280000.0
475,Мирабадский,90.0,3,5,210000.0
476,Яккасарайский,55.0,3,4,82000.0
477,Мирзо-Улугбекский,90.0,2,9,102000.0
478,Чиланзарский,48.0,3,4,86000.0
479,Мирзо-Улугбекский,78.0,5,5,78000.0
480,Яккасарайский,38.0,2,5,51200.0
481,Чиланзарский,70.0,3,5,136000.0
482,Мирзо-Улугбекский,50.0,1,4,60000.0
483,Чиланзарский,55.0,4,4,78000.0
484,Чиланзарский,90.0,5,9,100000.0
485,Чиланзарский,37.0,1,4,51000.0
486,Мирзо-Улугбекский,80.0,3,4,240000.0
487,Чиланзарский,105.0,7,9,190000.0
488,Учтепинский,45.0,5,9,54000.0
489,Чиланзарский,42.0,1,4,73600.0
490,Мирзо-Улугбекский,40.0,1,3,52000.0
491,Чиланзарский,29.0,2,4,48400.0
492,Учтепинский,72.0,5,5,90000.0
493,Мирзо-Улугбекский,40.0,5,5,63000.0
494,Юнусабадский,78.0,4,4,110000.0
495,Чиланзарский,70.0,4,5,64000.0
496,Чиланзарский,74.0,5,9,148000.0
497,Чиланзарский,55.0,3,4,52000.0
498,Мирзо-Улугбекский,60.0,6,9,68000.0
499,Яккасарайский,33.0,2,4,44000.0
500,Мирзо-Улугбекский,60.0,1,5,92000.0
501,Мирзо-Улугбекский,58.0,2,9,84000.0
502,Чиланзарский,68.0,2,4,122000.0
503,Чиланзарский,67.0,2,4,94000.0
504,Мирзо-Улугбекский,77.0,4,4,130000.0
505,Олмазорский,50.0,2,4,60000.0
506,Янгихаётский,57.0,3,7,70000.0
507,Мирзо-Улугбекский,70.0,4,4,89996.0
508,Юнусабадский,60.0,7,9,70000.0
509,Юнусабадский,57.0,4,9,72000.0
510,Юнусабадский,57.0,4,9,71998.0
511,Юнусабадский,58.0,2,5,73000.0
512,Юнусабадский,68.0,9,9,73000.0
513,Мирзо-Улугбекский,70.0,5,5,94000.0
514,Мирзо-Улугбекский,97.0,9,9,110580.0
515,Мирзо-Улугбекский,67.0,9,9,76380.0
516,Мирзо-Улугбекский,56.0,3,5,64000.0
517,Учтепинский,42.0,4,5,57000.0
518,Мирзо-Улугбекский,60.0,8,9,80000.0
519,Яккасарайский,86.0,6,8,150000.0
520,Чиланзарский,30.0,2,4,40400.0
521,Чиланзарский,51.0,2,4,46400.0
522,Шайхантахурский,90.0,4,9,210000.0
523,Учтепинский,30.0,2,4,40400.0
524,Чиланзарский,51.0,3,5,48400.0
525,Чиланзарский,64.0,2,5,70400.0
526,Чиланзарский,51.0,2,4,50400.0
527,Чиланзарский,30.0,2,4,44400.0
528,Чиланзарский,51.0,3,4,52400.0
529,Юнусабадский,50.0,3,4,73000.0
530,Яшнободский,66.0,1,5,56000.0
531,Юнусабадский,56.0,4,4,74000.0
532,Юнусабадский,57.0,3,9,74000.0
533,Яшнободский,40.0,5,8,27400.0
534,Юнусабадский,71.0,4,5,76000.0
535,Юнусабадский,58.0,3,5,76000.0
536,Олмазорский,125.0,1,3,160000.0
537,Мирабадский,40.0,1,1,45000.0
538,Яккасарайский,60.0,4,4,91000.0
539,Мирзо-Улугбекский,92.0,4,5,104000.0
540,Юнусабадский,54.0,1,4,77000.0
541,Мирзо-Улугбекский,91.0,3,5,100000.0
542,Яшнободский,21.0,3,4,29400.0
543,Учтепинский,72.0,1,9,88600.0
544,Юнусабадский,48.0,3,4,77998.0
545,Шайхантахурский,104.0,3,9,120000.0
546,Яшнободский,65.0,6,9,106000.0
547,Яшнободский,65.0,5,5,129998.0
548,Мирзо-Улугбекский,62.0,5,5,73000.0
549,Мирзо-Улугбекский,50.0,5,5,70000.0
550,Олмазорский,86.0,5,5,110000.0
551,Юнусабадский,50.0,4,4,67000.0
552,Мирзо-Улугбекский,56.0,2,4,74000.0
554,Мирзо-Улугбекский,60.0,2,5,76400.0
555,Чиланзарский,84.0,2,5,92000.0
556,Мирзо-Улугбекский,62.0,4,4,77000.0
557,Юнусабадский,56.0,4,5,78000.0
558,Янгихаётский,96.0,9,9,69000.0
559,Юнусабадский,63.0,2,5,79998.0
560,Учтепинский,109.0,7,9,130000.0
561,Мирзо-Улугбекский,100.0,2,5,256000.0
562,Юнусабадский,49.0,1,4,80000.0
563,Учтепинский,47.0,4,4,61000.0
564,Мирабадский,90.0,6,9,174000.0
565,Яккасарайский,95.0,4,4,159000.0
566,Чиланзарский,100.0,7,9,130000.0
567,Юнусабадский,50.0,1,4,82000.0
568,Учтепинский,80.0,3,5,120000.0
569,Юнусабадский,82.0,4,4,84000.0
570,Учтепинский,52.0,5,5,60000.0
571,Яккасарайский,55.0,2,4,130000.0
572,Учтепинский,80.0,5,5,124000.0
573,Чиланзарский,57.0,1,4,88000.0
574,Чиланзарский,50.0,6,8,77998.0
575,Учтепинский,59.0,9,9,54000.0
576,Яшнободский,60.0,1,6,60000.0
577,Мирзо-Улугбекский,140.0,3,8,196000.0
578,Мирабадский,164.0,3,7,240000.0
579,Мирзо-Улугбекский,135.0,1,9,164000.0
580,Шайхантахурский,75.0,8,9,98000.0
581,Мирзо-Улугбекский,70.0,4,5,90000.0
582,Чиланзарский,70.0,5,5,82000.0
583,Мирабадский,52.0,2,4,100000.0
584,Мирзо-Улугбекский,50.0,4,4,57400.0
585,Чиланзарский,72.0,6,9,108000.0
586,Мирзо-Улугбекский,60.0,6,6,68000.0
587,Юнусабадский,60.0,3,4,83000.0
588,Юнусабадский,60.0,3,4,83000.0
589,Чиланзарский,73.0,4,12,120000.0
590,Мирабадский,65.0,4,9,160000.0
592,Яккасарайский,80.0,2,10,249998.0
593,Мирабадский,120.0,2,7,329000.0
594,Олмазорский,75.0,4,9,124000.0
595,Мирзо-Улугбекский,60.0,4,4,68000.0
596,Чиланзарский,72.0,5,9,86000.0
